sentiment_set,sentiment_columns,variant,short,filtering_type,min_matches,since_date,until_date,window_size,daily_window,ewm_halflife,fsi_id,n_tweets_loaded,n_tweets_variant,n_daily_fsi,n_monthly_fsi,error
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m2,Reg(m≥2),regex,2,2018-01-01,2024-12-31,5,1,7,fsi_91e2fe35528c,882919,26335,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m1,Reg(m≥1),regex,1,2018-01-01,2024-12-31,5,1,7,fsi_4f8448555d7b,882919,91563,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m2,Sim(m≥2),similarity,2,2018-01-01,2024-12-31,5,1,7,fsi_a393a28c7710,882919,95863,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m1,Sim(m≥1),similarity,1,2018-01-01,2024-12-31,5,1,7,fsi_3fdcab659f19,882919,291158,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m2,Reg(m≥2),regex,2,2018-01-01,2024-12-31,10,1,7,fsi_b13b6dbc0e15,882919,26335,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m1,Reg(m≥1),regex,1,2018-01-01,2024-12-31,10,1,7,fsi_777761cb0781,882919,91563,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m2,Sim(m≥2),similarity,2,2018-01-01,2024-12-31,10,1,7,fsi_5094f0e75553,882919,95863,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m1,Sim(m≥1),similarity,1,2018-01-01,2024-12-31,10,1,7,fsi_fae2e85b8739,882919,291158,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m2,Reg(m≥2),regex,2,2018-01-01,2024-12-31,15,1,7,fsi_5feac95fa0f8,882919,26335,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m1,Reg(m≥1),regex,1,2018-01-01,2024-12-31,15,1,7,fsi_3b52854421ca,882919,91563,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m2,Sim(m≥2),similarity,2,2018-01-01,2024-12-31,15,1,7,fsi_6a3947180852,882919,95863,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m1,Sim(m≥1),similarity,1,2018-01-01,2024-12-31,15,1,7,fsi_7b22dd089b44,882919,291158,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m2,Reg(m≥2),regex,2,2018-01-01,2024-12-31,20,1,7,fsi_4fc10391b58c,882919,26335,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m1,Reg(m≥1),regex,1,2018-01-01,2024-12-31,20,1,7,fsi_2dc35d87ffaa,882919,91563,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m2,Sim(m≥2),similarity,2,2018-01-01,2024-12-31,20,1,7,fsi_dd47ffd55d13,882919,95863,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m1,Sim(m≥1),similarity,1,2018-01-01,2024-12-31,20,1,7,fsi_159f1a8466af,882919,291158,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m2,Reg(m≥2),regex,2,2018-01-01,2024-12-31,25,1,7,fsi_24259826e048,882919,26335,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",regex_m1,Reg(m≥1),regex,1,2018-01-01,2024-12-31,25,1,7,fsi_b92b67ce408e,882919,91563,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m2,Sim(m≥2),similarity,2,2018-01-01,2024-12-31,25,1,7,fsi_35997bdce492,882919,95863,2556,84,
lm+finbert19+finbert20+finvader,"lm_sentiment,yiyanghkust_sentiment,prosusai_sentiment,finvader_sentiment",similarity_m1,Sim(m≥1),similarity,1,2018-01-01,2024-12-31,25,1,7,fsi_0112d338ac4d,882919,291158,2556,84,
