fsi_id,gc_fsi_epu_lag1,gc_fsi_epu_lag2,gc_fsi_epu_lag3,gc_fsi_epu_lag4,gc_fsi_epu_lag5,gc_fsi_epu_lag6,gc_fsi_epu_lag7,gc_fsi_epu_lag8,gc_fsi_epu_lag9,gc_fsi_epu_lag10,gc_fsi_epu_lag11,gc_fsi_epu_lag12,gc_epu_fsi_lag1,gc_epu_fsi_lag2,gc_epu_fsi_lag3,gc_epu_fsi_lag4,gc_epu_fsi_lag5,gc_epu_fsi_lag6,gc_epu_fsi_lag7,gc_epu_fsi_lag8,gc_epu_fsi_lag9,gc_epu_fsi_lag10,gc_epu_fsi_lag11,gc_epu_fsi_lag12,gc_fsi_cfsi_lag1,gc_fsi_cfsi_lag2,gc_fsi_cfsi_lag3,gc_fsi_cfsi_lag4,gc_fsi_cfsi_lag5,gc_fsi_cfsi_lag6,gc_fsi_cfsi_lag7,gc_fsi_cfsi_lag8,gc_fsi_cfsi_lag9,gc_fsi_cfsi_lag10,gc_fsi_cfsi_lag11,gc_fsi_cfsi_lag12,gc_cfsi_fsi_lag1,gc_cfsi_fsi_lag2,gc_cfsi_fsi_lag3,gc_cfsi_fsi_lag4,gc_cfsi_fsi_lag5,gc_cfsi_fsi_lag6,gc_cfsi_fsi_lag7,gc_cfsi_fsi_lag8,gc_cfsi_fsi_lag9,gc_cfsi_fsi_lag10,gc_cfsi_fsi_lag11,gc_cfsi_fsi_lag12,gc_fsi_vixc_lag1,gc_fsi_vixc_lag2,gc_fsi_vixc_lag3,gc_fsi_vixc_lag4,gc_fsi_vixc_lag5,gc_fsi_vixc_lag6,gc_fsi_vixc_lag7,gc_fsi_vixc_lag8,gc_fsi_vixc_lag9,gc_fsi_vixc_lag10,gc_fsi_vixc_lag11,gc_fsi_vixc_lag12,gc_fsi_vixc_lag13,gc_fsi_vixc_lag14,gc_fsi_vixc_lag15,gc_fsi_vixc_lag16,gc_fsi_vixc_lag17,gc_fsi_vixc_lag18,gc_fsi_vixc_lag19,gc_fsi_vixc_lag20,gc_fsi_vixc_lag21,gc_fsi_vixc_lag22,gc_fsi_vixc_lag23,gc_fsi_vixc_lag24,gc_fsi_vixc_lag25,gc_fsi_vixc_lag26,gc_fsi_vixc_lag27,gc_fsi_vixc_lag28,gc_fsi_vixc_lag29,gc_fsi_vixc_lag30
fsi_2a9d11949be8,0.038129,0.035115,0.049385,0.090384,0.084168,0.171028,0.143461,0.172795,0.252985,0.419494,0.501107,0.163864,0.012122,0.162687,0.311382,0.371602,0.456514,0.152299,0.202095,0.131116,0.104078,0.301268,0.311015,0.349842,0.444343,0.735033,0.809328,0.921769,0.869636,0.90948,0.913227,0.859889,0.532323,0.540976,0.601973,0.553171,0.056708,0.130322,0.208505,0.28691,0.37079,0.418833,0.205541,0.23227,0.156667,0.192232,0.032575,0.036885,0.610091,0.51541,0.654019,0.752367,0.919659,0.634785,0.68906,0.701659,0.772237,0.466124,0.548745,0.561435,0.540525,0.46962,0.372728,0.386387,0.425022,0.481276,0.465615,0.541034,0.579719,0.606105,0.62557,0.589598,0.646978,0.693533,0.713465,0.717847,0.721405,0.659374
fsi_fc799d499e79,0.152052,0.021302,0.013169,0.014461,0.036169,0.182483,0.246151,0.102295,0.18193,0.160747,0.238704,0.22197,0.012654,0.023512,0.087486,0.01783,0.017113,0.025679,0.056616,0.03964,0.056343,0.132836,0.14721,0.20468,0.123922,0.232784,0.365244,0.477616,0.389314,0.456517,0.459836,0.438854,0.228223,0.18331,0.402038,0.431508,0.034319,0.191716,0.506072,0.550195,0.265773,0.262985,0.237725,0.018626,0.150662,0.218853,0.192455,0.132853,0.01497,0.00989,0.021009,0.035049,0.066065,0.057625,0.096957,0.102255,0.081879,0.101729,0.085045,0.133809,0.061196,0.092933,0.112664,0.137449,0.154107,0.189903,0.2462,0.247801,0.286865,0.328962,0.348607,0.289829,0.342762,0.342942,0.380422,0.122236,0.103054,0.119727
fsi_34f55319e5f8,0.14014,0.024495,0.01569,0.016649,0.043794,0.197057,0.265005,0.108724,0.190789,0.162868,0.241353,0.225739,0.01376,0.023251,0.071591,0.017248,0.020578,0.029721,0.061561,0.041357,0.059269,0.133423,0.140812,0.192941,0.130952,0.252308,0.387981,0.518586,0.409996,0.485937,0.499851,0.476972,0.282167,0.237186,0.485465,0.511553,0.03725,0.205107,0.539312,0.534388,0.259192,0.243316,0.218984,0.019417,0.1624,0.222092,0.189466,0.139552,0.021351,0.014592,0.031263,0.046661,0.093995,0.085781,0.134449,0.153721,0.129082,0.165144,0.149639,0.218829,0.118165,0.167134,0.18618,0.214217,0.233848,0.272713,0.335123,0.338899,0.380925,0.429586,0.451264,0.364927,0.42284,0.429899,0.472902,0.150416,0.130306,0.15055
fsi_0c83e2c67360,0.314245,0.030438,0.041795,0.043494,0.061743,0.316474,0.443243,0.35315,0.485209,0.463084,0.591271,0.543908,0.065392,0.046905,0.261848,0.006301,0.005558,0.016428,0.022783,0.010456,0.023598,0.054068,0.0772,0.033659,0.081826,0.182919,0.207942,0.367094,0.484401,0.512193,0.595994,0.543338,0.476849,0.332598,0.262691,0.314742,0.001759,0.049371,0.232442,0.189423,0.166998,0.244644,0.31743,0.091753,0.151594,0.29743,0.440795,0.425502,0.065243,0.067089,0.116838,0.130112,0.174949,0.103701,0.163328,0.243611,0.217604,0.243275,0.266033,0.293263,0.097496,0.146322,0.122071,0.111631,0.145946,0.175478,0.193031,0.211481,0.260242,0.286439,0.315755,0.240698,0.287648,0.322459,0.380308,0.24469,0.185654,0.201634
fsi_3cb80064d46d,0.179121,0.015254,0.008485,0.009294,0.026261,0.135406,0.190128,0.06707,0.13044,0.127542,0.190253,0.183402,0.014957,0.037551,0.161668,0.03946,0.033746,0.05132,0.10233,0.076961,0.091733,0.201711,0.205085,0.257915,0.183217,0.333022,0.472612,0.596211,0.481907,0.562006,0.565726,0.510637,0.302854,0.270364,0.512224,0.526555,0.02459,0.153303,0.438435,0.551737,0.354328,0.31248,0.315507,0.032252,0.162852,0.232504,0.210623,0.132205,0.030711,0.019806,0.041054,0.073212,0.114269,0.094301,0.149316,0.151249,0.106826,0.123987,0.106291,0.156025,0.047957,0.076737,0.099958,0.119729,0.134475,0.165431,0.226688,0.230046,0.270407,0.315296,0.349609,0.30334,0.355709,0.344894,0.384384,0.143269,0.127654,0.150623
fsi_d6122e18acdc,0.157736,0.025114,0.016041,0.016841,0.041466,0.210601,0.2829,0.111102,0.195786,0.160125,0.233148,0.201985,0.01337,0.021669,0.070767,0.014892,0.015924,0.023875,0.054645,0.037025,0.055449,0.12882,0.141558,0.199044,0.125851,0.234986,0.366876,0.480406,0.39544,0.463818,0.468242,0.460833,0.25072,0.204719,0.439127,0.473798,0.035755,0.19339,0.523307,0.542486,0.242845,0.240956,0.202473,0.016618,0.151248,0.216144,0.189982,0.135652,0.015313,0.010769,0.023092,0.035242,0.07326,0.064988,0.106438,0.117587,0.089538,0.117637,0.104769,0.158604,0.084366,0.122683,0.138986,0.169292,0.188271,0.224608,0.286553,0.283192,0.326419,0.369346,0.384722,0.306331,0.36056,0.368239,0.409902,0.140458,0.116456,0.133494
fsi_6d23cb12317d,0.144764,0.024263,0.015023,0.015993,0.041326,0.18785,0.253736,0.099991,0.174193,0.14665,0.223082,0.206477,0.016054,0.029879,0.094643,0.02603,0.029707,0.042605,0.084583,0.05783,0.078032,0.169852,0.169699,0.222779,0.135821,0.264406,0.386016,0.519504,0.40351,0.473437,0.496071,0.456727,0.273364,0.237304,0.483184,0.509246,0.033966,0.207292,0.550086,0.586229,0.319579,0.288102,0.276099,0.030729,0.20913,0.273839,0.232351,0.159059,0.023591,0.016536,0.03546,0.0527,0.102822,0.088191,0.136467,0.158653,0.125306,0.157244,0.145765,0.211728,0.09959,0.144021,0.162916,0.19057,0.213708,0.246051,0.305997,0.308888,0.351913,0.398176,0.425204,0.346756,0.403683,0.400719,0.443023,0.142634,0.128042,0.150347
fsi_0cbb9ebbb904,0.308417,0.037729,0.051498,0.05304,0.07936,0.354639,0.483008,0.386424,0.513654,0.486391,0.614566,0.563604,0.07171,0.043434,0.235702,0.007356,0.007116,0.019764,0.028281,0.011237,0.026551,0.056995,0.075557,0.033424,0.082797,0.187249,0.2123,0.395652,0.515771,0.539594,0.620371,0.564329,0.509333,0.36137,0.298458,0.364982,0.0017,0.048962,0.237622,0.184732,0.15934,0.226161,0.289549,0.089217,0.152042,0.288374,0.424569,0.424256,0.071742,0.074916,0.12523,0.134792,0.180218,0.109305,0.171399,0.260807,0.245907,0.2792,0.311189,0.336801,0.123992,0.180746,0.141972,0.12924,0.167233,0.200287,0.216271,0.234341,0.286335,0.315654,0.345439,0.256994,0.306966,0.347767,0.407179,0.249861,0.190052,0.204663
fsi_30bbf9aadcba,0.164006,0.022528,0.013981,0.014821,0.036466,0.199269,0.270192,0.108853,0.192368,0.158761,0.233269,0.19807,0.01314,0.023015,0.079172,0.015887,0.016129,0.025101,0.058131,0.039551,0.05842,0.138395,0.151259,0.212575,0.122616,0.235813,0.35917,0.467939,0.401504,0.474802,0.473078,0.467696,0.238835,0.18924,0.414334,0.449538,0.034468,0.193138,0.519777,0.563235,0.256109,0.253975,0.217062,0.015752,0.140122,0.208515,0.182505,0.121082,0.015261,0.010385,0.022576,0.035042,0.070529,0.059561,0.098635,0.107512,0.082445,0.104666,0.093276,0.143086,0.072386,0.107275,0.127143,0.157268,0.175142,0.211952,0.274374,0.269014,0.312475,0.355789,0.368467,0.302635,0.356548,0.36601,0.409642,0.137123,0.11389,0.130626
fsi_1ba98ddc80f2,0.705647,0.226166,0.27077,0.263009,0.262098,0.050306,0.090981,0.117208,0.121846,0.211951,0.251353,0.235489,0.250666,0.39046,0.496807,0.134239,0.20419,0.16496,0.29144,0.322097,0.316445,0.42043,0.567543,0.385027,0.469917,0.205613,0.39864,0.504845,0.626956,0.666319,0.750074,0.671424,0.660579,0.441334,0.563468,0.615714,0.005849,0.069896,0.154527,0.201538,0.279506,0.384957,0.38967,0.488766,0.445669,0.569798,0.440023,0.808196,0.148345,0.150084,0.186041,0.033558,0.116215,0.119611,0.152807,0.235492,0.24188,0.241905,0.236216,0.2407,0.033433,0.052859,0.059276,0.019456,0.018488,0.037801,0.042158,0.055431,0.06376,0.054792,0.061287,0.06462,0.059876,0.071562,0.086094,0.110894,0.070893,0.087755
